no,sexe,profession,annee_etude,naissance,age,VAK1,VAK2,VAK3,VAK4,VAK5,VAK6,VAK7,VAK8,VAK9,VAK10,VAK11,VAK12,VAK13,VAK14,VAK15,nb auditif (1),nb visuel (2),nb kinesthesique (3)
,,,,,,2,2,2,2,1,2,1,1,1,2,1,1,2,3,1,7,7,1
76,F,1,2,1988,19,B,C,B,A,A,C,B,A,B,B,B,B,B,B,C,,,
,,,,,,2,2,1,1,2,3,3,1,2,1,2,1,1,2,1,7,6,2
77,F,1,2,1988,19,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
78,F,2,2,1985,22,B,B,B,B,B,C,B,A,A,B,A,B,B,B,A,,,
,,,,,,2,3,1,2,3,3,3,1,1,1,1,1,1,2,2,7,4,4
79,F,1,2,1987,20,B,C,B,B,C,A,A,A,A,B,C,C,A,C,B,,,
,,,,,,2,2,1,2,1,1,1,1,1,1,3,2,2,3,3,7,5,3
80,F,2,NR,1977,30,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
81,M,1,2,1987,20,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
82,M,1,2,1988,19,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
83,M,1,2,1988,19,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
84,F,2,3,1984,23,B,A,B,A,A,C,A,A,A,C,C,B,A,B,A,,,
,,,,,,2,1,1,1,2,3,1,1,1,3,3,1,2,2,2,7,5,3
85,F,2,NR,1984,23,B,C,C,C,B,B,B,A,B,C,C,A,A,B,A,,,
,,,,,,2,2,3,3,3,2,3,1,2,3,3,3,2,2,2,1,7,7
86,M,2,3,1984,23,B,B,B,A,A,A,B,A,B,B,C,B,B,C,C,,,
,,,,,,2,3,1,1,2,1,3,1,2,1,3,1,1,3,1,8,3,4
87,F,2,3,1983,24,B,C,B,B,C,C,C,A,B,B,C,A,A,C,B,,,
,,,,,,2,2,1,2,1,3,2,1,2,1,3,3,2,3,3,4,6,5
88,F,1,2,1988,19,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
89,M,1,2,1988,19,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
90,M,1,2,1988,19,C,B,B,B,B,C,B,A,B,B,C,B,A,B,A,,,
,,,,,,3,3,1,2,3,3,3,1,2,1,3,1,2,2,2,4,5,6
91,F,2,2,1986,21,B,A,B,C,C,C,A,A,A,A,C,B,C,C,A,,,
,,,,,,2,1,1,3,1,3,1,1,1,2,3,1,3,3,2,7,3,5
92,F,NR,NR,1973,34,A,C,B,B,A,A,A,A,C,B,B,A,C,B,B,,,
,,,,,,1,2,1,2,2,1,1,1,3,1,2,3,3,2,3,6,5,4
93,F,2,3,1987,20,B,C,B,C,B,C,B,A,A,A,C,A,A,B,NR,,,
,,,,,,2,2,1,3,3,3,3,1,1,2,3,3,2,2,FAUX,3,5,6
94,F,1,2,1987,20,B,C,A,C,C,B,B,A,B,B,C,C,A,B,C,,,
,,,,,,2,2,2,3,1,2,3,1,2,1,3,2,2,2,1,4,8,3
95,M,1,3,1986,21,B,C,B,B,A,B,B,C,C,B,C,B,B,B,A,,,
,,,,,,2,2,1,2,2,2,3,2,3,1,3,1,1,2,2,4,8,3
96,F,2,2,1987,20,B,B,C,B,C,C,B,A,C,NR,C,B,A,B,B,,,
,,,,,,2,3,3,2,1,3,3,1,3,FAUX,3,1,2,2,3,3,4,7
97,F,2,2,1987,20,C,C,B,A,B,B,C,A,B,B,B,A,A,B,B,,,
,,,,,,3,2,1,1,3,2,2,1,2,1,2,3,2,2,3,4,7,4
98,F,1,2,1986,21,B,C,A,A,A,C,A,A,C,A,C,A,A,B,B,,,
,,,,,,2,2,2,1,2,3,1,1,3,2,3,3,2,2,3,3,7,5
99,M,1,2,1987,20,B,B,B,B,C,C,C,A,B,B,C,B,C,B,A,,,
,,,,,,2,3,1,2,1,3,2,1,2,1,3,1,3,2,2,5,6,4
100,M,1,NR,NR,NR,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
101,F,1,2,1987,20,A,C,B,A,B,B,C,B,C,B,C,C,B,B,B,,,
,,,,,,1,2,1,1,3,2,2,3,3,1,3,2,1,2,3,5,5,5
102,M,2,3,1986,21,A,B,A,A,C,B,C,A,A,A,A,B,A,A,B,,,
,,,,,,1,3,2,1,1,2,2,1,1,2,1,1,2,1,3,8,5,2
103,F,2,3,1986,21,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
104,F,2,NR,1986,21,A,C,B,A,B,C,B,B,A,B,C,A,A,B,C,,,
,,,,,,1,2,1,1,3,3,3,3,1,1,3,3,2,2,1,6,3,6
105,M,1,2,1987,20,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
106,M,1,2,1987,20,B,C,B,B,C,B,B,A,A,B,B,B,A,B,B,,,
,,,,,,2,2,1,2,1,2,3,1,1,1,2,1,2,2,3,6,7,2
107,M,1,2,1987,20,,,,,,,,,,,,,,,,,,
,,,,,,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,FAUX,0,0,0
108,F,2,3,1987,20,A,C,A,A,B,A,A,A,B,C,A,B,B,B,A,,,
,,,,,,1,2,2,1,3,1,1,1,2,3,1,1,1,2,2,8,5,2
109,F,1,2,1986,21,B,C,A,A,A,C,B,A,B,A,C,B,C,A,C,,,
,,,,,,2,2,2,1,2,3,3,1,2,2,3,1,3,1,1,5,6,4
110,F,1,3,1986,21,B,B,B,A,B,C,B,A,C,C,C,C,A,A,B,,,
,,,,,,2,3,1,1,3,3,3,1,3,3,3,2,2,1,3,4,3,8
111,M,1,2,1987,20,B,C,A,A,C,B,A,A,A,B,A,B,A,B,C,,,
,,,,,,2,2,2,1,1,2,1,1,1,1,1,1,2,2,1,9,6,0
112,F,1,2,1987,20,B,B,A,A,C,C,B,A,A,B,B,B,B,B,A,,,
,,,,,,2,3,2,1,1,3,3,1,1,1,2,1,1,2,2,7,5,3
113,M,1,2,1988,19,B,C,B,A,C,C,B,A,B,A,C,B,B,C,B,,,
,,,,,,2,2,1,1,1,3,3,1,2,2,3,1,1,3,3,6,4,5
114,F,2,2,1984,23,B,A,B,C,C,NR,C,A,C,C,C,C,C,C,C,,,
,,,,,,2,1,1,3,1,FAUX,2,1,3,3,3,2,3,3,1,5,3,6
115,F,1,2,1987,20,B,B,B,C,C,B,A,A,A,A,B,A,B,A,A,,,
,,,,,,2,3,1,3,1,2,1,1,1,2,2,3,1,1,2,7,5,3
116,M,1,2,1987,20,B,B,B,A,A,A,C,A,C,A,C,A,B,B,C,,,
,,,,,,2,3,1,1,2,1,2,1,3,2,3,3,1,2,1,6,5,4
117,M,1,2,1988,19,B,C,B,A,A,C,B,B,B,A,C,C,B,B,C,,,
,,,,,,2,2,1,1,2,3,3,3,2,2,3,2,1,2,1,4,7,4
118,F,2,3,1986,21,B,B,B,C,C,C,B,B,A,A,A,B,A,B,A,,,
,,,,,,2,3,1,3,1,3,3,3,1,2,1,1,2,2,2,5,5,5
119,M,1,2,1987,20,B,C,B,A,C,NR,B,A,B,A,A,B,NR,B,A,,,
,,,,,,2,2,1,1,1,FAUX,3,1,2,2,1,1,FAUX,2,2,6,6,1
120,M,4,4,1985,22,C,C,C,A,A,C,C,A,B,A,B,B,A,B,C,,,
,,,,,,3,2,3,1,2,3,2,1,2,2,2,1,2,2,1,4,8,3
121,M,1,2,1988,19,B,B,B,A,C,B,B,A,B,C,C,A,B,C,A,,,
,,,,,,2,3,1,1,1,2,3,1,2,3,3,3,1,3,2,5,4,6
122,F,2,3,1986,21,B,B,B,B,B,A,C,A,B,B,B,B,C,C,B,,,
,,,,,,2,3,1,2,3,1,2,1,2,1,2,1,3,3,3,5,5,5
123,M,1,NR,1985,22,B,B,B,B,C,C,B,B,B,A,A,B,B,B,A,,,
,,,,,,2,3,1,2,1,3,3,3,2,2,1,1,1,2,2,5,6,4
124,F,2,3,1984,23,B,C,A,A,B,C,B,A,B,A,B,B,C,C,A,,,
,,,,,,2,2,2,1,3,3,3,1,2,2,2,1,3,3,2,3,7,5
125,F,2,3,1987,20,B,C,C,B,B,C,B,A,B,A,C,C,A,B,A,,,
